"Data da Arrecadacao";"Conta";"Descricao da Conta";"Vinculo";"Descricao do Vinculo";"Valor Arrecadado";"Entidade"
"18/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010020000";" Recursos nao vinculados de Impostos - Saude";"480820,44";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"18/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150070000000";" Recursos nao vinculados de Impostos - Ordinarios";"1011679,83";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"19/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010010000";" Recursos nao vinculados de Impostos - Educacao";"457787,80";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"19/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010020000";" Recursos nao vinculados de Impostos - Saude";"357887,86";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"19/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150070000000";" Recursos nao vinculados de Impostos - Ordinarios";"752931,53";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"20/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010010000";" Recursos nao vinculados de Impostos - Educacao";"609199,80";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"20/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010020000";" Recursos nao vinculados de Impostos - Saude";"476160,71";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"20/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150070000000";" Recursos nao vinculados de Impostos - Ordinarios";"1001871,38";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"21/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010010000";" Recursos nao vinculados de Impostos - Educacao";"2618597,59";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"21/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010020000";" Recursos nao vinculados de Impostos - Saude";"2047080,91";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"21/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150070000000";" Recursos nao vinculados de Impostos - Ordinarios";"4306780,36";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"24/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010010000";" Recursos nao vinculados de Impostos - Educacao";"9088,16";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
